property_id,download_date,council_name,purchase_price,address,post_code,property_type,strata_lot_number,property_name,area,area_type,contract_date,settlement_date,zoning,nature_of_property,primary_purpose,legal_description
3711559,2024-02-26,KU-RING-GAI,2350000,"304/37 MILLEWA AVE, WAHROONGA",2076,unit,19.0,,,,2023-11-18,2024-02-19,,R,RESIDENCE,19/SP88491
691470,2024-02-26,KU-RING-GAI,3520000,"75 COONANBARRA RD, WAHROONGA",2076,house,,,973.7,M,2023-12-15,2024-02-19,R2,R,RESIDENCE,A/972109
688792,2024-02-26,KU-RING-GAI,2260000,"182 BURNS RD, TURRAMURRA",2074,house,,,999.1,M,2023-11-21,2024-02-16,R2,R,RESIDENCE,13/30833
694568,2024-02-26,KU-RING-GAI,6350000,"9 EULBERTIE AVE, WARRAWEE",2074,house,,,1672.0,M,2023-12-09,2024-02-19,R2,R,RESIDENCE,1/301580
702571,2024-02-26,KU-RING-GAI,3408000,"59 LOFBERG RD, WEST PYMBLE",2073,house,,,1031.0,M,2023-11-06,2024-02-19,R2,R,RESIDENCE,4/20086
715918,2024-02-26,KU-RING-GAI,1920000,"17 TOBRUK AVE, ST IVES CHASE",2075,house,,,1685.0,M,2023-12-17,2024-02-19,C4,R,RESIDENCE,1/249419
718742,2024-02-26,KU-RING-GAI,4250000,"73 WESTBROOK AVE, WAHROONGA",2076,house,,,775.3,M,2023-12-05,2024-02-20,R2,R,RESIDENCE,11/14622
705492,2024-02-26,KU-RING-GAI,2250000,"417 MONA VALE RD, ST IVES",2075,house,,,699.5,M,2023-11-15,2024-02-16,R2,R,RESIDENCE,6/14679
695014,2024-02-26,KU-RING-GAI,2550000,"122 FIDDENS WHARF RD, KILLARA",2071,house,,,730.5,M,2023-11-24,2024-02-22,R2,R,RESIDENCE,2/5/8640
700393,2024-02-26,KU-RING-GAI,2600000,"58 KIRKPATRICK ST, NORTH TURRAMURRA",2074,house,,,1165.0,M,2023-12-14,2024-02-19,C4,R,RESIDENCE,79/718158
695681,2024-02-26,KU-RING-GAI,5900000,"8 GARRICK RD, ST IVES",2075,house,,,929.5,M,2024-01-31,2024-02-21,R2,R,RESIDENCE,45/30590
701017,2024-02-26,KU-RING-GAI,5400000,"9 KOOLA AVE, EAST KILLARA",2071,house,,,1056.0,M,2023-12-11,2024-02-19,R2,R,RESIDENCE,B/440814
698503,2024-02-26,KU-RING-GAI,2300000,"107 HUNTER AVE, ST IVES",2075,house,,,1012.0,M,2023-11-29,2024-02-21,R2,R,RESIDENCE,14/58/758377
685384,2024-02-26,KU-RING-GAI,3000000,"4 BARELLAN AVE, TURRAMURRA",2074,house,,,1309.0,M,2023-11-18,2024-02-16,R2,R,RESIDENCE,A/316587
698920,2024-02-26,KU-RING-GAI,2605000,"10 JOHNSON ST, LINDFIELD",2070,house,,,696.8,M,2023-12-07,2024-02-22,R2,R,RESIDENCE,5/3/8640
3893694,2024-02-26,KU-RING-GAI,1150000,"408 B/3 LORNE AVE, KILLARA",2071,unit,71.0,,,,2024-02-03,2024-02-20,,R,RESIDENCE,71/SP92537
408218,2024-02-26,SNOWY MONARO REGIONAL,325000,"30 CARDWELL ST, BOMBALA",2632,house,,,1545.4,M,2024-02-05,2024-02-21,R1,R,RESIDENCE,30/1095749
3370457,2024-02-26,SNOWY MONARO REGIONAL,1300000,"2/111 A GIPPSLAND ST, JINDABYNE",2627,unit,1.0,,,,2024-01-19,2024-02-19,,R,RESIDENCE,1/SP80330
4144112,2024-02-26,SNOWY MONARO REGIONAL,15400000," KOSCIUSZKO RD, JINDABYNE",2627,house,,,287.8,H,2023-03-02,2024-02-05,RU1,V,VACANT LAND,10/1241336
444050,2024-02-26,SNOWY MONARO REGIONAL,595000,"45 KIAH AVE, COOMA",2630,house,,,772.9,M,2024-02-05,2024-02-22,R2,R,RESIDENCE,117/786841
445701,2024-02-26,SNOWY MONARO REGIONAL,545000,"10 WARRA ST, COOMA",2630,house,,,779.7,M,2024-01-31,2024-02-22,R2,R,RESIDENCE,29/251958
445886,2024-02-26,SNOWY MONARO REGIONAL,495000,"45 YAREEN RD, COOMA",2630,house,,,663.9,M,2024-01-23,2024-02-20,R2,R,RESIDENCE,66/209292
4533333,2024-02-26,SNOWY MONARO REGIONAL,200000," TOMBONG RD, TOMBONG",2633,house,,,57.872,H,2023-11-23,2024-02-19,,V,VACANT LAND,"42, 46/756853"
4532940,2024-02-26,SNOWY MONARO REGIONAL,28295," WOLLONDIBBY RD, CRACKENBACK",2627,house,,,2.692,H,2022-08-24,2024-01-24,,V,VACANT LAND,2/1293228
4532438,2024-02-26,SNOWY MONARO REGIONAL,374000,"80 MASSIE ST, COOMA",2630,house,,,588.0,M,2023-09-20,2023-11-01,,R,RESIDENCE,"20, 21/2478"
4525137,2024-02-26,SNOWY MONARO REGIONAL,15400000," KOSCIUSZKO RD, JINDABYNE",2627,house,,,1.163,H,2023-03-02,2024-02-05,,V,VACANT LAND,"1, 3/1290870"
4532905,2024-02-26,SNOWY MONARO REGIONAL,15400000,"6011 KOSCIUSZKO RD, EAST JINDABYNE",2627,house,,,8000.0,M,2023-03-02,2024-02-05,,V,VACANT LAND,521/1290839
4532907,2024-02-26,SNOWY MONARO REGIONAL,15400000," TINWORTH DR, JINDABYNE",2627,house,,,160.8,H,2023-03-02,2024-02-05,,V,VACANT LAND,5/823491
4533100,2024-02-26,SNOWY MONARO REGIONAL,2240000,"1188 CADDIGAT RD, ADAMINABY",2629,house,,CADDIGAT,259.0,H,2024-01-19,2024-02-19,,V,VACANT LAND,1/756683
2662452,2024-02-26,SNOWY MONARO REGIONAL,460000,"9 BELOKA LANE, DALGETY",2628,house,,,5.561,H,2023-12-12,2024-02-21,RU1,R,RESIDENCE,4/812085
2663184,2024-02-26,SNOWY MONARO REGIONAL,15400000," ALPINE WAY, JINDABYNE",2627,house,,,6.791,H,2023-03-02,2024-02-05,C3,V,VACANT LAND,1/548207 Enclosure Permit 173902
2663192,2024-02-26,SNOWY MONARO REGIONAL,15400000," ALPINE WAY, CRACKENBACK",2627,house,,,109.5,H,2023-03-02,2024-02-05,C3,V,VACANT LAND,84/756686
2663209,2024-02-26,SNOWY MONARO REGIONAL,15400000," ALPINE WAY, CRACKENBACK",2627,house,,,12.98,H,2023-03-02,2024-02-05,C3,V,VACANT LAND,175/756686
2663220,2024-02-26,SNOWY MONARO REGIONAL,15400000," KOSCIUSZKO RD, JINDABYNE",2627,house,,,4.15,H,2023-03-02,2024-02-05,RU1,V,VACANT LAND,14/239506
2663735,2024-02-26,SNOWY MONARO REGIONAL,604000,"4/33 CLYDE ST, JINDABYNE",2627,unit,4.0,,,,2024-01-22,2024-02-19,,R,RESIDENCE,4/SP17855
4441596,2024-02-26,SNOWY MONARO REGIONAL,72000,"205 A MAYBE ST, BOMBALA",2632,house,,,915.3,M,2024-01-25,2024-02-16,R1,V,VACANT LAND,1/1143694
338972,2024-02-26,CENTRAL COAST,670000,"2/86 BUNDEENA RD, GLENNING VALLEY",2261,unit,2.0,,,,2023-02-19,2024-02-19,,R,RESIDENCE,2/SP45714
330871,2024-02-26,CENTRAL COAST,720000,"12 ADRIAN CL, BATEAU BAY",2261,house,,,376.4,M,2024-01-23,2024-02-22,R1,R,RESIDENCE,9172/882259
333790,2024-02-26,CENTRAL COAST,735000,"101 BARKER AVE, SAN REMO",2262,house,,,461.6,M,2023-12-21,2024-02-19,R2,R,RESIDENCE,235/30316
331307,2024-02-26,CENTRAL COAST,600000,"3/23 ALEX CL, OURIMBAH",2258,unit,3.0,,,,2024-01-23,2024-02-22,,R,RESIDENCE,3/SP43004
331497,2024-02-26,CENTRAL COAST,639000,"60 ALISON RD, WYONG",2259,house,,,558.2,M,2024-01-10,2024-02-21,R3,R,RESIDENCE,41/1009593
331635,2024-02-26,CENTRAL COAST,120000,"49 ALLINGA RD, WOONGARRAH",2259,house,,,2.428,H,2024-02-13,2024-02-21,RU6,R,RESIDENCE,112A/22837
338635,2024-02-26,CENTRAL COAST,1210000,"192 BUFF POINT AVE, BUFF POINT",2262,house,,,765.1,M,2023-12-20,2024-02-16,R2,R,RESIDENCE,71/13209
344670,2024-02-26,CENTRAL COAST,680000,"47 DELIA AVE, BUDGEWOI",2262,house,,,556.4,M,2024-01-08,2024-02-19,R2,R,RESIDENCE,596/23729
348166,2024-02-26,CENTRAL COAST,827500,"10 FERNDELL WAY, BERKELEY VALE",2261,house,,,600.7,M,2024-01-07,2024-02-19,R2,R,RESIDENCE,78/28859
340247,2024-02-26,CENTRAL COAST,655000,"37 CARINYA ST, CHARMHAVEN",2263,house,,,556.4,M,2024-01-22,2024-02-19,R2,R,RESIDENCE,182/27286
343138,2024-02-26,CENTRAL COAST,1150000,"217 CRESTHAVEN AVE, BATEAU BAY",2261,house,,,795.1,M,2024-02-16,2024-02-19,R1,R,RESIDENCE,222/785741
343696,2024-02-26,CENTRAL COAST,5800000,"1 A CUTLER DR, WYONG",2259,house,,MOTEL T/PARK,1.48,H,2023-11-30,2024-02-16,R1,3,COMMERCIAL,"1, 2/608075"
352753,2024-02-26,CENTRAL COAST,350000,"4/12 HARGRAVES ST, TOUKLEY",2263,unit,4.0,,,,2023-12-11,2024-02-16,,3,OFFICE,4/SP20639
358119,2024-02-26,CENTRAL COAST,300000,"22 KEVIN ST, MANNERING PARK",2259,house,,,550.1,M,2024-01-30,2024-02-19,R2,R,RESIDENCE,11/213541
350503,2024-02-26,CENTRAL COAST,725000,"23 GLADING CL, LAKE HAVEN",2263,house,,,480.2,M,2024-01-15,2024-02-16,R1,R,RESIDENCE,72/812585
353585,2024-02-26,CENTRAL COAST,520000,"6 HILL ST, GOROKAN",2263,house,,,853.6,M,2024-02-02,2024-02-22,R1,R,RESIDENCE,19/22137
351200,2024-02-26,CENTRAL COAST,1400000,"15 GORDON RD, LONG JETTY",2261,house,,,727.2,M,2023-11-02,2024-02-22,R2,R,RESIDENCE,212/543209
356735,2024-02-26,CENTRAL COAST,465000,"4/10 KALULAH AVE, GOROKAN",2263,unit,4.0,,,,2024-01-29,2024-02-20,,R,RESIDENCE,4/SP16958
351624,2024-02-26,CENTRAL COAST,1100000,"16 GRANDVIEW ST, SHELLY BEACH",2261,house,,,446.5,M,2023-11-03,2024-02-16,R2,R,RESIDENCE,1/883663
359965,2024-02-26,CENTRAL COAST,780000,"158 LAKEDGE AVE, BERKELEY VALE",2261,house,,,227.6,M,2023-12-21,2024-02-20,E1,3,COMMERCIAL,B/29311
357379,2024-02-26,CENTRAL COAST,1010000,"1 KAURI CT, OURIMBAH",2258,house,,,612.6,M,2024-01-11,2024-02-22,R1,R,RESIDENCE,24/793613
363479,2024-02-26,CENTRAL COAST,1050000,"89 MAIN RD, TOUKLEY",2263,house,,,698.342,M,2023-12-13,2024-02-15,R2,R,RESIDENCE,54/14731 A/389843
366349,2024-02-26,CENTRAL COAST,559000,"20 MONTEREY AVE, MANNERING PARK",2259,house,,,638.6,M,2023-12-08,2024-02-16,R2,R,RESIDENCE,16/201690
363872,2024-02-26,CENTRAL COAST,710000,"38 MANOA RD, BUDGEWOI",2262,house,,,556.4,M,2024-01-06,2024-02-16,R2,R,RESIDENCE,626/23729
361911,2024-02-26,CENTRAL COAST,870000,"60 LOUISIANA RD, HAMLYN TERRACE",2259,house,,,502.5,M,2024-01-06,2024-02-19,R2,R,RESIDENCE,204/1012677
364717,2024-02-26,CENTRAL COAST,670000,"95 MARKS RD, GOROKAN",2263,house,,,594.4,M,2023-12-11,2024-02-19,R2,R,RESIDENCE,16/24662
370140,2024-02-26,CENTRAL COAST,1165000,"574 OLD MAITLAND RD, MARDI",2259,house,,,5060.0,M,2023-11-01,2024-02-21,RU1,R,RESIDENCE,1/616352
364931,2024-02-26,CENTRAL COAST,1280000,"7 MARLOWE RD, BATEAU BAY",2261,house,,,556.4,M,2023-11-18,2024-02-16,R2,R,RESIDENCE,45/217594
367870,2024-02-26,CENTRAL COAST,650000,"17 NELMES RD, BLUE HAVEN",2262,house,,,382.8,M,2024-01-18,2024-02-22,R1,R,RESIDENCE,526/1010192
372857,2024-02-26,CENTRAL COAST,650000,"3 PENGUIN RD, BLUE HAVEN",2262,house,,,600.7,M,2024-01-20,2024-02-19,R2,R,RESIDENCE,22/218002
380966,2024-02-26,CENTRAL COAST,810000,"1 TEAK CL, HAMLYN TERRACE",2259,house,,,708.7,M,2024-01-05,2024-02-16,R2,R,RESIDENCE,230/875227
373522,2024-02-26,CENTRAL COAST,950000,"72 PLATYPUS RD, BERKELEY VALE",2261,house,,,1024.0,M,2024-01-08,2024-02-19,R2,R,RESIDENCE,147/222242
387726,2024-02-26,CENTRAL COAST,750000,"39 WHITE SWAN AVE, BLUE HAVEN",2262,house,,,444.5,M,2024-01-25,2024-02-22,R1,R,RESIDENCE,4020/879407
388103,2024-02-26,CENTRAL COAST,750000,"9 WINDSONG PL, TUGGERAH",2259,house,,,366.5,M,2024-01-10,2024-02-21,R1,R,RESIDENCE,71/845894
383131,2024-02-26,CENTRAL COAST,605000,"2/51 TONKISS ST, TUGGERAH",2259,unit,2.0,,,,2024-01-23,2024-02-20,,R,RESIDENCE,2/SP53671
383159,2024-02-26,CENTRAL COAST,730000,"17 TONKISS ST, TUGGERAH",2259,house,,,339.2,M,2024-01-10,2024-02-21,R1,R,RESIDENCE,22/839561
388781,2024-02-26,CENTRAL COAST,275000,"10/14 WOODWARD AVE, WYONG",2259,unit,10.0,,,,2024-01-18,2024-01-29,,R,RESIDENCE,10/SP22187
383687,2024-02-26,CENTRAL COAST,660000,"15 TREVALLY AVE, CHAIN VALLEY BAY",2259,house,,,600.7,M,2024-01-15,2024-02-22,R2,R,RESIDENCE,162/201943
386372,2024-02-26,CENTRAL COAST,200000,"104 WANDEWOI AVE, SAN REMO",2262,house,,,575.4,M,2024-01-23,2024-02-16,R2,R,RESIDENCE,535/29539
